127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/welcome/index.do?bannerWelcome=https%3A%2F%2Fi.imgur.com%2Fmz4KOzY.png HTTP/1.1" 200 3013
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:50 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/?language=es HTTP/1.1" 200 3037
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:26:55 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/?language=es HTTP/1.1" 200 3030
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/scripts/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/scripts/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/scripts/jmenu.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/scripts/jquey.dynamiclist.js HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/styles/common.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/styles/jmenu.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Mar/2018:13:27:05 +0100] "GET /Acme-Rendezvous/styles/displaytag.css HTTP/1.1" 304 -
